ID,mainboard,procesador,memoriaram,discoduro,fuente
1,Mainboard Asus Gygabite,Procesador Ryzen 5600g,Memoria Ram Ddr3 8gb,500,600W
2,Mainboard Biostar A68n-2100e,Procesador Intel Core I5 10400,Memoria Ram Ddr3 16gb,1000, 200W
3,Mainboard Biostar J4105nhu,Procesador Amd Ryzen 5 3600,Memoria Ram Ddr4 4gb,2000,400W
4,Mainboard Acer Aspire 6920,Procesador Intel I3 10100f,Memoria Ram Ddr4 8gb,250,1200W
5,Mainboard Fox Intel H81,Procesador Intel Core I5 10400,Memoria Ram Ddr4 16gb,480,600W
6,Mainboard Biostar B250-mhc,Procesador Amd Ryzen 5 5600g,Memoria Ram Ddr3 4gb,960,300W
7,Mainboard Fox Com Intel H61/lga,Procesador Intel Core I7-12700k,Memoria Ram Ddr4 2gb,500,100W
8,Mainboard Biostar H310mhp,Procesador Intel Core I5 11400,Memoria Ram Ddr4 16gb,500,1220W
9,Mainboard Biostar Intel,Fpc Procesador Intel I3 10105f,Memoria Ram Ddr3 8gb,1000,120W
10,Placas Madre Mainboard Epson Vs250,Procesador Intel Core I5 10400,Memoria Ram Ddr3 8gb,1000,800W
